CustomerID,Industry,CompanySize,Region,SubscriptionPlan,SalesDate,RenewalStatus,SalesAmount
218,Finance,1000+,North America,Annual,04/15/2023,Active,7677
219,Finance,1000+,Europe,Annual,10/18/2022,Active,8205
220,Healthcare,50-199,Africa,Monthly,07/27/2022,Active,9735
221,Manufacturing,50-199,Asia,Annual,12/27/2022,Active,14705
222,Education,1000+,South America,Monthly,05/02/2023,Active,9691
223,Education,50-199,Europe,Monthly,08/15/2023,Active,9313
224,Healthcare,200-499,North America,Annual,09/26/2023,Active,1154
225,Education,500-999,Africa,Monthly,07/11/2023,Active,6838
226,Technology,1000+,North America,Monthly,09/11/2023,Active,2763
227,Education,500-999,South America,Monthly,06/20/2022,Active,2323
228,Education,1000+,Africa,Annual,09/13/2022,Active,2792
229,Technology,200-499,Europe,Annual,07/03/2023,Active,10496
230,Healthcare,50-199,Asia,Annual,01/23/2022,Active,12344
231,Manufacturing,50-199,Asia,Annual,05/17/2022,Active,6842
232,Education,500-999,Asia,Monthly,03/07/2023,Active,2239
233,Technology,500-999,South America,Monthly,08/10/2023,Active,19364
234,Education,1-49,South America,Monthly,09/24/2023,Active,18757
235,Finance,1000+,Asia,Annual,06/24/2022,Active,13843
236,Technology,1000+,Africa,Annual,05/19/2022,Active,8134
237,Technology,1000+,Europe,Annual,02/12/2022,Active,13536
238,Manufacturing,50-199,Asia,Annual,03/02/2023,Active,1323
239,Healthcare,50-199,South America,Monthly,05/12/2023,Active,17091
240,Education,50-199,Europe,Annual,01/21/2023,Active,2456
241,Healthcare,1000+,North America,Annual,09/23/2022,Active,16529
242,Technology,50-199,Europe,Monthly,12/15/2022,Active,14368
243,Manufacturing,1-49,South America,Annual,02/02/2022,Active,2286
244,Finance,50-199,South America,Monthly,05/04/2023,Active,12453
245,Finance,1000+,Asia,Annual,12/28/2022,Active,15589
246,Education,500-999,Africa,Monthly,08/13/2023,Active,1287
247,Manufacturing,500-999,Asia,Monthly,03/04/2023,Active,17475
248,Manufacturing,1-49,South America,Annual,03/19/2022,Active,2472
249,Education,500-999,South America,Monthly,05/11/2022,Active,4878
250,Education,200-499,South America,Monthly,07/02/2023,Active,7121
251,Technology,1000+,Europe,Monthly,12/16/2023,Active,9747
252,Manufacturing,200-499,Asia,Monthly,11/04/2023,Active,14547
253,Education,50-199,Asia,Monthly,12/18/2022,Active,19417
254,Finance,50-199,Europe,Annual,03/12/2022,Active,1923
255,Healthcare,50-199,North America,Monthly,03/22/2022,Active,18842
256,Healthcare,50-199,Asia,Annual,12/23/2023,Active,975
257,Healthcare,500-999,South America,Monthly,10/31/2023,Active,4556
258,Healthcare,1000+,South America,Annual,07/06/2023,Active,19422
259,Finance,1000+,North America,Monthly,01/23/2023,Active,7692
260,Finance,1-49,North America,Annual,03/26/2023,Active,3638
261,Technology,50-199,Asia,Annual,05/26/2022,Active,18284
262,Education,200-499,Africa,Monthly,05/06/2023,Active,10348
263,Manufacturing,50-199,Europe,Monthly,03/07/2023,Active,10795
264,Manufacturing,500-999,Africa,Monthly,01/25/2023,Active,12841
265,Education,500-999,Asia,Annual,04/20/2023,Active,9782
266,Manufacturing,500-999,North America,Monthly,08/04/2022,Active,11270
267,Finance,1-49,South America,Monthly,09/10/2022,Active,15247
268,Technology,50-199,Europe,Annual,12/13/2022,Active,7280
269,Finance,200-499,South America,Monthly,07/20/2022,Active,1672
270,Healthcare,1000+,South America,Monthly,12/15/2022,Active,10685
271,Manufacturing,1000+,South America,Monthly,06/29/2023,Active,16138
272,Education,50-199,Africa,Annual,07/05/2023,Active,16962
273,Finance,500-999,Asia,Annual,04/22/2022,Active,12761
274,Education,1-49,South America,Annual,12/03/2022,Active,4964
275,Technology,200-499,Europe,Annual,09/06/2022,Active,3155
276,Technology,200-499,Europe,Annual,09/16/2023,Active,10039
277,Technology,200-499,North America,Annual,12/24/2022,Active,17921
278,Healthcare,200-499,Europe,Annual,07/13/2022,Active,5721
279,Education,200-499,Asia,Annual,02/02/2022,Active,9728
280,Technology,200-499,Asia,Monthly,08/16/2022,Active,12036
281,Manufacturing,1-49,North America,Annual,05/13/2022,Active,10309
282,Education,200-499,Africa,Monthly,10/29/2022,Active,17912
283,Education,500-999,Europe,Annual,09/20/2023,Active,2835
284,Technology,50-199,Europe,Annual,11/19/2023,Active,4966
285,Manufacturing,1000+,Europe,Monthly,11/14/2023,Active,15144
286,Technology,500-999,South America,Annual,05/22/2022,Active,8705
287,Education,500-999,North America,Annual,08/11/2023,Active,10232
288,Technology,50-199,North America,Monthly,12/06/2022,Active,8364
289,Finance,1-49,Asia,Monthly,09/12/2023,Active,14318
290,Manufacturing,500-999,Europe,Annual,12/25/2023,Active,3749
291,Healthcare,50-199,Europe,Monthly,04/10/2022,Active,2959
292,Manufacturing,200-499,Africa,Annual,09/21/2022,Active,7097
293,Manufacturing,500-999,North America,Monthly,04/29/2023,Active,2648
294,Technology,50-199,South America,Monthly,09/30/2023,Active,4347
295,Manufacturing,1-49,Africa,Monthly,04/25/2022,Active,3779
296,Finance,50-199,Africa,Monthly,12/14/2022,Active,17615
297,Manufacturing,500-999,Europe,Annual,10/10/2022,Active,15668
298,Education,1000+,North America,Monthly,11/26/2023,Active,16512
299,Finance,1000+,Asia,Annual,09/20/2023,Active,17062
300,Education,50-199,Africa,Monthly,09/16/2022,Active,18141
301,Finance,1-49,South America,Annual,07/10/2022,Active,16639
302,Healthcare,50-199,North America,Annual,07/22/2022,Active,1093
303,Education,500-999,Africa,Monthly,04/09/2022,Active,8571
304,Technology,1-49,Europe,Annual,08/31/2023,Active,18171
305,Finance,200-499,Africa,Annual,07/06/2023,Active,2310
306,Finance,1-49,Europe,Annual,01/09/2023,Active,18194
307,Manufacturing,200-499,North America,Monthly,11/01/2022,Active,4677
308,Education,1000+,Africa,Monthly,03/15/2023,Active,18927
309,Finance,500-999,North America,Annual,06/25/2022,Active,4266
310,Healthcare,50-199,Europe,Monthly,02/02/2022,Active,13648
311,Finance,1-49,South America,Monthly,03/23/2023,Active,14653
312,Manufacturing,50-199,North America,Monthly,12/08/2022,Active,8320
313,Technology,200-499,North America,Annual,10/12/2023,Active,12524
314,Manufacturing,1-49,Africa,Annual,05/24/2022,Active,13188
315,Manufacturing,1-49,South America,Annual,02/24/2022,Active,19875
316,Healthcare,1-49,South America,Annual,02/18/2022,Active,9862
317,Education,50-199,Europe,Annual,10/01/2023,Active,13779
318,Manufacturing,500-999,South America,Monthly,08/02/2022,Active,5163
319,Healthcare,50-199,Asia,Annual,01/03/2023,Active,9946
320,Technology,200-499,North America,Annual,10/10/2023,Active,9723
321,Education,50-199,Asia,Monthly,04/25/2022,Active,9682
322,Technology,1-49,Europe,Monthly,08/28/2022,Active,6161
323,Technology,1000+,South America,Annual,10/31/2023,Active,9214
324,Education,500-999,Asia,Monthly,08/01/2023,Active,5645
325,Manufacturing,1000+,Europe,Monthly,06/18/2023,Active,5606
326,Finance,1000+,Asia,Monthly,07/04/2023,Active,6175
327,Healthcare,50-199,Africa,Annual,02/03/2022,Active,11119
328,Finance,1000+,Asia,Annual,05/25/2022,Active,916
329,Finance,1000+,Africa,Annual,02/11/2022,Active,4811
330,Manufacturing,50-199,South America,Monthly,05/20/2022,Active,2292
331,Technology,1-49,South America,Annual,09/21/2022,Active,5645
332,Manufacturing,1000+,Europe,Annual,12/10/2023,Active,6806
333,Manufacturing,200-499,North America,Monthly,11/19/2022,Active,10100
334,Healthcare,1000+,Asia,Monthly,05/09/2023,Active,13187
335,Manufacturing,1-49,North America,Monthly,12/07/2023,Active,8087
336,Education,200-499,South America,Annual,12/08/2023,Active,18936
337,Technology,1000+,South America,Annual,02/17/2022,Active,7581
338,Healthcare,1000+,South America,Annual,01/27/2022,Active,12525
339,Finance,1000+,Africa,Annual,07/31/2023,Active,5502
340,Technology,50-199,Africa,Monthly,12/03/2022,Active,11777
341,Finance,200-499,North America,Annual,09/26/2023,Active,1412
342,Healthcare,1000+,Asia,Annual,04/09/2023,Active,15190
343,Manufacturing,1000+,Asia,Monthly,01/27/2022,Active,12007
344,Finance,1000+,South America,Monthly,09/03/2022,Active,7388
345,Finance,500-999,North America,Monthly,01/14/2022,Active,8954
346,Healthcare,500-999,Europe,Monthly,03/23/2023,Active,9366
347,Technology,500-999,Asia,Monthly,05/08/2023,Active,16406
348,Education,200-499,South America,Annual,07/09/2022,Active,18332
349,Manufacturing,1-49,Africa,Monthly,07/19/2022,Active,12559
350,Technology,200-499,Africa,Annual,07/23/2022,Active,5873
351,Finance,500-999,Asia,Monthly,02/16/2023,Active,8575
352,Education,1-49,Europe,Annual,07/14/2023,Active,17959
353,Education,500-999,Africa,Annual,06/25/2023,Active,7820
354,Education,200-499,Europe,Annual,09/17/2023,Active,10284
355,Healthcare,200-499,North America,Monthly,01/22/2022,Active,7576
356,Technology,200-499,Asia,Annual,04/06/2022,Active,8364
357,Finance,1000+,North America,Annual,02/15/2022,Active,6421
358,Finance,1000+,Asia,Monthly,03/06/2023,Active,9204
359,Finance,1000+,Africa,Annual,06/12/2023,Active,14267
360,Education,200-499,North America,Annual,09/04/2023,Active,3129
361,Manufacturing,1000+,Europe,Monthly,05/28/2022,Active,11983
362,Healthcare,1-49,North America,Annual,06/11/2023,Active,13288
363,Manufacturing,1-49,South America,Annual,05/03/2022,Active,5517
364,Healthcare,1-49,South America,Monthly,10/01/2022,Active,5203
365,Finance,1-49,South America,Annual,06/26/2022,Active,16922
366,Healthcare,50-199,Asia,Monthly,10/28/2023,Active,2854
367,Manufacturing,500-999,North America,Annual,08/03/2023,Active,12400
368,Technology,50-199,North America,Monthly,05/23/2023,Active,13711
369,Healthcare,500-999,Asia,Annual,09/05/2023,Active,14103
370,Education,50-199,Asia,Monthly,03/07/2023,Active,2325
371,Manufacturing,1-49,North America,Monthly,07/05/2022,Active,19696
372,Technology,1000+,Asia,Monthly,04/13/2023,Active,2477
373,Technology,500-999,North America,Monthly,08/10/2022,Active,19268
374,Technology,50-199,North America,Annual,06/26/2023,Active,14088
375,Manufacturing,1-49,Africa,Monthly,11/10/2023,Active,16573
376,Healthcare,1-49,Africa,Monthly,07/08/2022,Active,15488
377,Manufacturing,50-199,Europe,Monthly,10/15/2023,Active,3512
378,Technology,500-999,South America,Monthly,04/14/2022,Active,17292
379,Education,500-999,Europe,Annual,05/18/2022,Active,10284
380,Education,200-499,South America,Monthly,08/22/2022,Active,17345
381,Education,200-499,Europe,Annual,03/06/2023,Active,5778
382,Finance,200-499,North America,Monthly,04/15/2023,Active,14894
383,Finance,1000+,South America,Annual,09/28/2023,Active,12689
384,Finance,50-199,Asia,Monthly,12/05/2022,Active,13502
385,Healthcare,1000+,North America,Monthly,04/10/2022,Active,11587
386,Technology,500-999,North America,Monthly,05/12/2023,Active,17584
387,Technology,1000+,Africa,Annual,01/25/2022,Active,19912
388,Finance,200-499,North America,Monthly,12/12/2022,Active,6125
389,Education,500-999,South America,Monthly,07/18/2023,Active,18546
390,Healthcare,1000+,Africa,Annual,12/10/2022,Active,10515
391,Finance,500-999,Europe,Monthly,11/27/2023,Active,7399
392,Manufacturing,1-49,Asia,Annual,09/13/2023,Active,3478
393,Healthcare,50-199,Africa,Annual,02/16/2023,Active,6315
394,Manufacturing,50-199,Africa,Monthly,11/10/2022,Active,18550
395,Finance,50-199,Africa,Monthly,03/31/2023,Active,14037
396,Technology,50-199,North America,Annual,10/04/2023,Active,10716
397,Healthcare,1-49,South America,Annual,02/12/2022,Active,1989
398,Technology,1000+,North America,Annual,12/20/2022,Active,8476
399,Finance,50-199,Europe,Monthly,01/30/2022,Active,5484
400,Healthcare,1-49,South America,Monthly,05/29/2023,Active,19285
401,Technology,200-499,Africa,Monthly,07/21/2022,Active,13250
402,Healthcare,50-199,Africa,Monthly,07/18/2022,Active,11799
403,Education,200-499,Asia,Annual,08/08/2023,Active,8957
404,Finance,200-499,Africa,Annual,07/26/2022,Active,6685
405,Manufacturing,1000+,South America,Annual,10/02/2022,Active,16657
406,Education,500-999,Asia,Annual,09/01/2023,Active,6189
407,Finance,50-199,North America,Monthly,02/03/2022,Active,14422
408,Healthcare,1-49,North America,Annual,01/17/2023,Active,5726
409,Technology,50-199,North America,Monthly,04/03/2022,Active,18664
410,Finance,200-499,Asia,Annual,01/21/2023,Active,17284
411,Manufacturing,1-49,Asia,Annual,05/08/2023,Active,3547
412,Technology,500-999,South America,Monthly,02/21/2022,Active,11178
413,Healthcare,50-199,South America,Monthly,04/26/2022,Active,1669
414,Education,500-999,South America,Monthly,10/22/2022,Active,11486
415,Technology,1-49,Asia,Annual,07/24/2022,Active,13123
416,Finance,1-49,Europe,Monthly,02/19/2022,Active,14519
417,Education,1000+,South America,Annual,11/22/2023,Active,10111
418,Manufacturing,1000+,South America,Monthly,04/09/2023,Active,3245
419,Manufacturing,200-499,Africa,Annual,05/05/2023,Active,8940
420,Manufacturing,500-999,South America,Monthly,07/29/2023,Active,19397
421,Education,1-49,North America,Annual,08/08/2022,Active,15068
422,Healthcare,500-999,Africa,Annual,05/26/2023,Active,15425
423,Education,1-49,North America,Monthly,07/29/2023,Active,17136
424,Education,200-499,North America,Annual,01/26/2022,Active,1271
425,Manufacturing,50-199,Asia,Annual,09/27/2022,Active,9775
426,Education,500-999,North America,Annual,04/10/2022,Active,15073
427,Finance,1-49,Europe,Monthly,09/03/2022,Active,9733
428,Manufacturing,1000+,North America,Annual,04/13/2023,Active,9488
429,Healthcare,200-499,Asia,Annual,05/20/2023,Active,702
430,Education,1-49,South America,Monthly,02/18/2022,Active,18338
431,Finance,1000+,South America,Annual,06/01/2022,Active,12989
432,Manufacturing,50-199,Europe,Monthly,09/13/2022,Active,18316
433,Manufacturing,200-499,North America,Monthly,08/14/2022,Active,3949
434,Technology,1-49,Asia,Annual,10/17/2022,Active,17303
435,Manufacturing,200-499,North America,Annual,08/20/2023,Active,5053
436,Education,1-49,South America,Annual,07/27/2022,Active,10481
